#Infinite Time (1) Select only one Infinite Time code
80146BBC 1770
#Infinite Time (2)Select only one Infinite Time code
D00299D8 0001
800299D8 0000
#Infinite Power Boost
800A34B4 1000
#Infinite Energy
800A34A8 03E8
800A34AC 03E8
#Infinite Continues
D0053F3A FFFF
80053F3A 0000
#No Damage
D002ED42 0050
8002ED42 0040
#Vb Gauge 1
D00364EC 0004
800364EC 1000
D0062264 0001
80062264 1000
#Vb Gauge Always Max
D005F43C FFF4
8005F43C 0000
D005FE30 FC00
8005FE30 0000
#Rk Maximum
800A34C0 0010
800A34C8 0010
800A34D0 000D
#Stage 1 - 1
D012B01A AE63
8012B01A AE60
#Stage 1 - 2
D0125786 AE43
80125786 AE40
#Stage 2 - 1
D0126146 AEA3
80126146 AEA0
#Stage 2 - 2
D0129A2E AE42
80129A2E AE40
#Stage 3 - 1
D012627A AE43
8012627A AE40
#Stage 3 - 2
D012D01A AE63
8012D01A AE60
#Stage 4 - 1
D0129846 AE43
80129846 AE40
#Stage 4 - 2
D012B4CE AE42
8012B4CE AE40
#Stage 4 - 3
D0133626 AE62
80133626 AE60
#All Stage Selectable
8009703C 4F4A
8009703E 454B
30097040 0052
50001102 0000
800A3410 0101
