#War Funds 9999999 Goth
800B3ED0 E0FF
800B3ED2 05F5
#Infinite Money
8013BE20 FFFF
8013BE22 0FFF
#Charactere 1 HP/MP 999 Stats max.
80143AD8 0063
80137120 00FF
80143B80 03E7
80143C60 03E7
801372D4 03E7
80137208 03E7
801370C0 03E7
80136C58 03E7
80135EF4 03E7
80136EE8 03E7
#Others Characteres HP/MP 999 Stats max.
80143BB8 03E7
80143C98 03E7
80143BBA 03E7
80143BBE 03E7
80143BBC 03E7
80143BC0 03E7
80143BC2 03E7
80143BC4 03E7
80143C9A 03E7
80143C9C 03E7
80143C9E 03E7
80143CA0 03E7
80143CA2 03E7
80143CA4 03E7
#All Map	
30140FFF 00FF
